GINSENG (ΤΖΙΝΣΕΓΚ),1475,1689,,,
GOJI,1476,1597,,,
GOTU COLA (ΣΕΝΤΕΛΑ),1477,1933,1892,,
GRAPESEED (ΣΤΑΦΥΛΙ),1478,1933,,,
GREEN COFFEE (ΠΡΑΣΙΝΟΣ ΚΑΦΕΣ),1480,1892,,,
GREEN TEA (ΠΡΑΣΙΝΟ ΤΣΑΪ),1479,1892,,,
GUARANA (ΓΚΟΥΑΡΑΝΑ),1481,1689,,,
HAWTHORNE BERRY (ΚΡΑΤΑΙΓΟΣ),1482,1942,,,
HOLY BASIL,1483,,,,
HORSE CHESTNUT (ΑΓΡΙΟΚΑΣΤΑΝΟ),1485,1567,,,
LIQORICE (ΓΛΥΚΟΡΙΖΑ),1501,1633,,,
LUFFA (ΛΟΥΦΑ),1510,1876,,,
MACA (ΜΑΚΑ),1512,1889,,,
MILK THISTLE (ΓΑΪΔΟΥΡΑΓΚΑΘΟ),1515,1605,,,
NETTLE - ΤΣΟΥΚΝΙΔΑ,1517,1866,,,
OLIVE LEAF (ΦΥΛΛΑ ΕΛΙΑΣ),1518,1597,,,
OREGANO (ΡΙΓΑΝΗ),1519,1596,,,
PASSIFLORA (ΠΑΣΣΙΦΛΟΡΑ),1521,1559,,,
PAU D'ARCO,1522,1844,,,
POMEGRANATE (ΡΟΔΙ),1524,1554,1597,,
RED CLOVER (ΚΟΚΚΙΝΟ ΤΡΙΦΥΛΛΙ),1527,1686,,,
REISHI (ΓΑΝΟΔΕΡΜΑ),1529,1597,,,
RESVERATROL (ΡΕΣΒΕΡΑΤΡΟΛΗ),1530,,,,
RHODIOLA (ΡΟΔΙΟΛΑ/ ΡΟΔΙΟΣ ΡΙΖΑ),1531,1802,,,
RUTIN (ΡΟΥΤΙΝΗ),1533,,,,
SAW PALMETTO (ΣΕΡΕΝΟΑ),1534,1866,,,
SCUTELLARIAE (ΣΚΟΥΤΕΛΛΑΡΙΑ),1536,1573,,,
SLIPERY ELM (ΦΤΕΛΙΑ),1541,1567,,,
SPIRULINA (ΣΠΙΡΟΥΛΙΝΑ),1542,1597,,,
ST.JOHNS WORT (ΒΑΛΣΑΜΟΧΟΡΤΟ),1545,1559,,,
TURMERIC (ΚΟΥΡΚΟΥΜΑΣ),1549,1600,,,
URTICA (ΤΣΟΥΚΝΙΔΑ),1550,1732,,,
UVA URSI,1551,1732,,,
VALERIANA (ΒΑΛΕΡΙΑΝΑ),1552,1559,,,
YARROW (ΑΧΙΛΛΕΑ),1558,,,,
ΛΟΥΙΖΑ,1777,1892,,,
LYCOPENE (ΛΥΚΟΠΕΝΙΟ),1511,1597,,,
BREWERS YEAST (ΜΑΓΙΑ ΜΠΥΡΑΣ),1446,1900,,,
CITRUS (ΚΙΤΡΟ),1455,,,,
ROSE HIPS (ΑΓΡΙΑ ΤΡΙΑΝΤΑΦΥΛΛΙΑ),1532,1831,,,
ACEROLA,1426,,,,
PSYLLIUM,1525,1671,,,
CASCARA,1450,1671,,,
ACIDOPHILLUS,1427,,,,
EVENING PRIMROSE (ΝΥΧΤΟΛΟΥΛΟΥΔΟ),1465,1676,,,
BOSWELLIA,1445,1831,,,
HORNY GOAT,1484,,,,
ΙΠΠΟΦΑΕΣ,1716,1689,,,
ΜΑΣΤΙΧΑ,1792,1844,,,
ΚΡΟΚΟΣ,1752,,,,
BROMELAIN,1447,,,,
BLUEBERRY (ΒΑΤΟΜΟΥΡΟ),1441,,,,
PINE APPLE (ΑΝΑΝΑΣ),1523,1844,,,
QUERCETIN,1526,1573,,,
RED YEAST RICE,1528,1942,,,
ΑΝΘΟΙΑΜΑΤΑ,1577,,,,
KELP,1488,1714,,,
ΑΛΛΑ ΒΟΤΑΝΑ,1571,,,,
ΠΡΩΤΕΪΝΕΣ & ΑΜΙΝΟΞΕΑ,1871,,,,
L-ARGININE,1492,1681,,,
L-CARNITINE,1493,1892,,,
L-CITRULLINE,1494,1565,,,
L-CYSTEINE,1495,1816,,,
L-GLUTAMINE,1496,1565,,,
L-GLUTATHIONE,1497,1597,,,
L-LYSINE,1502,1703,,,
L-METHIONINE,1503,1597,,,
L-ORNITHINE,1504,1565,,,
TAURINE,1548, ,,,
L-PHENILALANINE,1505,1812,,,
L-PROLINE,1506,1831,,,
L-THEANINE,1507,1559,,,
L-TYROSINE,1509,1559,,,
L-TRYPTOPHAN (5-HTP),1508,1559,,,
GABA,1469,,,,
L-ALANINE,1491,,,,
ΑΘΛΗΤΕΣ,1565,1898,,,
ΣΥΝΔΥΑΣΜΟΙ,1898,,,,
L- HISTIDINE,1636,,,,
TAURINE,1548,,,,
ΠΑΙΔΙΚΑ ΣΥΜΠΛΗΡΩΜΑΤΑ,1841,,,,
ΥΓΙΕΙΝΗ ΔΙΑΤΡΟΦΗ,1921,,,,
ΥΠΟΚΑΤΑΣΤΑΤΑ ΖΑΧΑΡΗΣ,1927,1928,1663,,
